DateOfMeet,MeetName,Location
13-Oct,East Forsyth Meet,"Kernersville, NC"
13-Oct,FCDS Meet,"Lewisville, NC"
13-Oct,United Way Invitational,"Newton, NC"
14-Oct,CISAA-GCMSAA #6,"Charlotte, NC"
16-Oct,Central Piedmont Championship,"Clemmons, NC"
18-Oct,Cape Fear Independent Conference (CFIC) Cross Country Championsh,"Southern Pines, NC"
18-Oct,CVAC Conference Meet,"Newton, NC"
18-Oct,MAC Conference Championships,"Charlotte, NC"
19-Oct,2A East Central Conference Championships,"Beulaville, NC"
19-Oct,CAAC Gold Jamboree #3,"Charlotte, NC"
19-Oct,CAP-8 Conference Championships,"Cary, NC"
19-Oct,Carolina 10 1A/2A Conference Championship,"Pittsboro, NC"
19-Oct,Carolina Conference Championship,", NC"
19-Oct,Carolina Conference Champs,"Chapel Hill, NC"
19-Oct,CFV Conf. Championships,"Southern Pines, NC"
19-Oct,Greater Neuse River Conference Champs,"Wendell, NC"
19-Oct,Mega 7 Conference Championships,"Charlotte, NC"
19-Oct,Mega 7 Conference Championships,"Charlotte, NC"
19-Oct,Metro 4A Conference Championship,"Pleasant Garden, NC"
19-Oct,Mid-Piedmont Conference Champs,"Thomasville, NC"
19-Oct,Mountain Athletic Conference Champs,", NC"
19-Oct,Mountain Valley Conference Championships,"North Wilkesboro, NC"
19-Oct,Northwest 1A/2A Conference Championships,"Dobson, NC"
19-Oct,South Piedmont Conference Champs,"Lincolnton, NC"
19-Oct,Southeastern 4A Conference Champs,"Southern Pines, NC"
19-Oct,Southern Carolina Conference Meet,"Wingate, NC"
19-Oct,SPC Conference Championships,"Concord, NC"
20-Oct,Mid-South Conference Championships,"Fayetteville, NC"
20-Oct,Mid-State Conference Champs,"Gibbsonville, NC"
20-Oct,North Piedmont Conference Championships,"Salisbury, NC"
20-Oct,Northwestern 3A/4A Conference Champs,"Lenoir, NC"
20-Oct,Piedmont Triad 4A Conference,"Kernersville, NC"
20-Oct,Tri-9 Conference Championships,"Cary, NC"
20-Oct,Western Highlands Conference Champs,"Hendersonville, NC"
21-Oct,Eastern Plains Conference Champs,"Greenville,"
21-Oct,Mideastern Conference Champs,"Buies Creek, NC"
21-Oct,PACIS Conference Championship,"Pleasant Garden, NC"
21-Oct,Rocky River Conference Championships,"Albemarle, NC"
22-Oct,CISAA Championships,"Charlotte, NC"
22-Oct,TISAC Conference Champs,"Cary, NC"
29-Oct,NCISAA State Championships,"Montreat, NC"
30-Oct,NCHSAA 1A East Regional,"Manteo, NC"
30-Oct,NCHSAA 1A Mideast Regional,"Burgaw, NC"
30-Oct,NCHSAA 1A Midwest Regional,"Kernersville, NC"
30-Oct,NCHSAA 1A West Regional,"Hendersonville, NC"
30-Oct,NCHSAA 2A East Regional,"Jacksonville, NC"
30-Oct,NCHSAA 2A Mideast Regional,"Pittsboro, NC"
30-Oct,NCHSAA 2A Midwest Regional,"Salisbury, NC"
30-Oct,NCHSAA 2A West Regional,"Hendersonville, NC"
30-Oct,NCHSAA 3A East Regional,"Winterville, NC"
30-Oct,NCHSAA 3A Mideast Regional,"Cary, NC"
30-Oct,NCHSAA 3A Midwest Regional,"Charlotte, NC"
30-Oct,NCHSAA 3A West Regional,"Hendersonville, NC"
30-Oct,NCHSAA 4A East Regional,"Wendell, NC"
30-Oct,NCHSAA 4A Mideast Regional,"Cary, NC"
30-Oct,NCHSAA 4A Midwest Regional,"Kernersville, NC"
30-Oct,NCHSAA 4A West Regional,"Charlotte, NC"
6-Nov,NCHSAA 1A State Championships,"Kernersville, NC"
6-Nov,NCHSAA 2A State Championships,"Kernersville, NC"
6-Nov,NCHSAA 3A State Championships,"Kernersville, NC"
6-Nov,NCHSAA 4A State Championships,"Kernersville, NC"
7-Nov,NC USATF State Championship,"Pleasant Garden, NC"
12-Nov,Foot Locker/NXN Tune-Up,"Claremont, NC"
13-Nov,Charlotte Latin 5k Tune-Up,"Charlotte, NC"
13-Nov,Reagan Tune-Up,"Winston-Salem, NC"
14-Nov,EFX NC High School Meet of Champions Entries Closed,"Kernersville, NC"
19-Nov,Broughton 2-Mile,"Raleigh, NC"
20-Nov,Charger's Post Season Tune-Up,"Charlotte, NC"
27-Nov,Foot Locker South Regional,"Charlotte, NC"
27-Nov,Nike Cross Nationals Southeast Regional,"Cary, NC"
